ID,Dialogue,Manipulative,Technique,Vulnerability
85516812,"Person1: Dr. Thompson, just so the Jury knows, you never treated Deborah Ann Kaye. Is that correct?
Person2: That is correct. I was engaged to render an opinion.
Person1: Engaged to render an opinion. For a price. Is that correct? You're being paid to be here today?
Person2: Just as you are, Sir...
Person1: Are you board-certified in anesthesiology, Doctor?
Person2: No, I am not. It's quite common in New York State...
Person1: ...I'm sure it is, but this is Massachusetts, Doctor. Certified in Internal Medicine?
Person2: No.
Person1: Neurology?
Person2: No.
Person1: Orthopedics?
Person2: I'm just an M.D.
Person1: Do you know Dr. Robert Towler...?
Person2: I know of him.
Person1: How is that?
Person2: Through, through his book.
Person1: What book is that?
Person2: Meth... Methodology and Technique...
Person1: ...of Anesthesiology?
Person2: 'Methodology and Techniques of Anesthesiology.' Yes.
Person1: How old are you?
Person2: I am seventy-four years old.
Person1: Uh-huh. Still practice a lot of medicine?
Person2: I'm on the staff of...
Person1: Yes, we've heard that. Doctor. You testify quite a bit against other physicians?  Isn't that right? You, you're available for that? When you're paid to be there?
Person2: Sir. Yes. When a thing is wrong... as in this case, I am available. I am seventy-four years old, I am not board-certified.
Person2: I have been practicing medicine for forty-six years and I know when an injustice has been done.
Person1: Do you, indeed. I'll bet you do. Fine. Fine. We'll save the court the time. We will admit the Doctor as an 'expert witness,' fine.",1,,
85516813,"Person1: You're in one hell of a jam.  You realize that?
Person2: I'm high as a kite.
Person1: Glands.  You're supposed to be happy when you die.  Call me comical again.
Person2: You're a clown.  You're a clown who kills--but you're a clown.
Person1: I love you!  Have a cigar!
Person2: Evolution has made you a clown-- with a cigar.  Simple butchers like you are obsolete!
Person1: I'm to be left behind--in primordial ooze?
Person2: If you're at home in the ooze, and nowhere else.
Person1: This is going to become very physical.  Are you prepared for that?
Person2: You're not such a creature of the ooze that you'd hurt an unarmed man.
Person1: I'm an honorable clown?
Person2: King Arthur.
Person1: You hope.
Person2: In any event, I will not beg for mercy.
Person1: No quarter asked.  No quarter given.
Person2: Don't you laugh even inwardly at the heroic balderdash you spew?
Person1: Cut me open.  Find out.
Person2: I've struck my blow.
Person1: With spittle?
Person2: I've poisoned you. HAROLD  Lucretia Borgia?  Something I drank or touched?  You refused a cigar.  That's it! Potassium cyanide in the humidor! Treacherous lover of peace!
Person2: I put a poisoned thought in your head.  Even now that poison is seeping into every lobe of your mind.  It's saying, ""Obsolete, obsolete, obsolete,"" and, ""Clown, clown, clown.""
Person1: Poison.
Person2: You have a very good mind, or I wouldn't have come back.  That mind is now asking itself, cleverly and fairly, ""Is Harold Ryan really a clown?"" And the answer is, ""Yes.""
Person1: I--I really must congratulate you. Something is happening in there.
Person2: You can never take yourself seriously again!  Look at all the creatures you've protected us from! Did you shoot them on the elevator, as they were on their way up here to eat us alive?
Person1: No. WOODLY The magic root you gave me--I had it analyzed.  It was discovered by a Harvard botanist in 1893!  He explored your famous jungle for five years, armed with nothing but kindness, a talent for languages, and a pocketknife.
Person1: I see.
Person2: You aren't going to hurt me.  You aren't going to hurt anybody any more.  Any violent gesture will seem ridiculous--to yourself!
Person1: Don Quixote.
Person2: My violin is avenged!
Person1: Something seems to have happened to my self-respect.
Person2: And the hell with it.  It was so tragically irrelevant, so preposterously misinformed.
Person1: The new hero is you.
Person2: I hate crowds, and I have no charisma--
Person1: You're too modest.
Person2: But the new hero will be a man of science and of peace--like me. He'll disarm you, of course.  No more guns, no more guns.
Person1: Was I ever of use?
Person2: Never.  For when you began to kill for the fun of it, you became the chief source of agony of mankind.",1,"Shaming or Belittlement,Accusation",
85516814,"Person1: And the point is?
Person2: At the exorcism, Birdson boasted that Satan is about to take over the body of a man.  You are that man, Peter.
Person1: What?!?!
Person2: It's true.  Birdson knew your name, he was writing it in numerical code.  It wasn't easy but I figured it out.  It spelled your name.
Person1: Why didn't Birdson just say so?
Person2: If you're possessed, you can't reveal anything Satan wants hidden.  Unless you trick him.
Person1: Trick him.
Person2: The good outwitting the bad.  It's like Birdson had a split personality.
Person1: You should think about getting professional help.
Person2: You're already contaminated.  It's why you couldn't hear the tape.  There's probably a pentacle near your bed.  To sanctify you.
Person1: I'm not going to be drawn into this.
Person2: I know this sounds crazy.  I understand. Check your parents' blood types.  Are you sure your parents are your birth parents?
Person1: My parents are dead.  Don't even think of bringing them into this.",1,Persuasion or Seduction,
85516815,"Person1: You wanted to become a member of the most powerful clique in the school. If I wasn't already the head of it, I'd want the same thing.
Person2: I'm sorry? What are you oozing about?
Person1: That episode with the note back there was for all of us to enjoy, but you're determined to ruin my day.
Person2: We made a girl want to consider suicide. What a scream. What a jest.
Person1: Come on you jerk. You know you used to have a sense of humor.",0,,
85516816,"Person1: Large?
Person2: All right, cop. I want my money.
Person1: It's still my money. If you want to have a chance at any part of it, shithead, you will take my $120,000 and bet on tomorrow's game.
Person2: What about the money you owe me on yesterday's game?
Person1: Forget yesterday's game. The World Series is seven games not six. Put in my bet.
Person2: Let me think about it.
Person1: There's nothing to think about. Either you put in my bet or you ain't getting nothing.",1,Intimidation,Dependency
85516817,"Person1: So maybe we got enough for one ticket. Darn!
Person2: Waitaminit, dudes! I got it! We find four really small kids, beat the shit outta them and steal their tickets. What do you think?
Person1: Brilliance, Trip. Sheer brilliance. Give Albert Einstein here the Nobel Prize.",0,,
85516818,"Person1: If I were you, Mary -- I'd go back to school. I'd make no further attempt to find Jacqueline.
Person2: Why?
Person1: It will make you unhappy to find Jacqueline. It would put her in danger --- great danger --",1,"Intimidation,Persuasion or Seduction",
85516819,"Person1: You know what I mean? Like the tip o'your nose, and if I stroke your teeth or your kneecaps... you get excited.
Person2: Come on.  Yeah. You know what? You know, I like you, I really mean it. I really do like you.
Person1: You- Do you love me?
Person2: Do I love you?
Person1: That's the key question.
Person2: Yeah.
Person1: I know you've only known me a short while.
Person2: Well, I certainly... I think that's very- Yeah, yeah...  yeah. Do you love me?
Person1: I-uh, love is, uh, is too weak a word for what...
Person2: Yeah.
Person1: I love you.  You know I lo-ove you, I-I love you.  I-I have to invent- Of course I love you.
Person2: Yeah.
Person1: Don't you think I do?
Person2: I dunno.",1,Persuasion or Seduction,
85516820,"Person1: Operator...How much would the call be station-to-station?...Thirty-five cents cheaper?...I'd still be short twenty cents ...Just a second, operator...  Colonel, shoot the lock off the Coke machine.  There's bound to be enough change in there.
Person2: That's government property, Major.
Person1: Colonel, remember, a reprimand from the President can be pretty serious to a career officer...Just a second, operator, I know I have it somewhere.",1,Intimidation,
85516821,"Person1: You could've handwritten it.
Person2: I'm not much good at handwriting. Or parties.
Person1: Oh, that's right. You're ""clueless.""",1,Shaming or Belittlement,Low self-esteem
85516822,"Person1: We'll get you cleaned up, find a suitable gown... I imagine you'll enjoy a good meal?
Person2: Oh, yes...
Person1: A few day's nourishment will see your strength returning.
Person2: And then?
Person1: Yes?
Person2: What will become of me then?
Person1: When you are ripe for my pleasure, I will enjoy the harvest.
Person2: I see...
Person1: I'm pleased you're not troubled by the prospect...
Person2: Do as you wish with my body, you'll never possess my soul!
Person1: Your soul...?  Why should I bother with such a paltry trifle?
Person2: I don't expect you'd understand.
Person1: My dear Princess, the human soul is a highly elusive commodity.  I suggest you spend some hours before the glass.  Contemplate your intriguing reflection and consider whether such a creature as yourself could possibly possess something as fine and beautiful as a soul.",1,Shaming or Belittlement,
85516823,"Person1: That's very nice. Thank you. Thank you for saying that.  You're friends with my sister?
Person2: Yeah.
Person1: How long have you known her?
Person2: About six months.
Person1: You like her?
Person2: Yeah. Yeah we get along well.  You didn't get along with her very well?
Person1: Did you really come to meet me on purpose or are you lying about that?
Person2: No, no. I did.
Person1: That's nice. It's nice.  I've been looking around a lot lately at promotional giveaways, cross promotional work by some companies. Do you remember all that pudding?
Person2: Yeah.
Person1: So that pudding was bought, I bought that pudding because of a pretty interesting promotion that's sponsored by Healthy Choice and American Airlines. It's designed to encourage airline travel and obviously designed to encourage buying Healthy Choice products. They make frozen meals, deli meats, pasta sauce, breads, soups and ice creams, this sort of thing.....
Person2: Yeah?
Person1: ....I'm sorry....I lost my thoughts, what I was saying....
Person2: You were talking about the promotion --
Person1: -- the promotion says: buy any 10 Healthy Choice products and get 500 miles of airline travel or 1,000 for purchases made with a special coupon. So in the supermarket, you notice their products, first you notice they have a Teriyaki Chicken Dinner at $1.79 - that's a pretty good deal....but then I noticed they had soup at 89 cents a can.....and you start to do the math and you start to notice that it's a really amazing deal because I stumbled across the pudding at 25 cents a cup. Now the crucial thing is the bar codes on the label. That's those little bar codes, you know? The universal product codes?
Person2: Yeah.
Person1: That's what's used to redeem the mileage, so in noticing the pudding, each cup had an individual bar code -- in other words, two dollars and fifty cents for ten cups of pudding is 500 miles. Add in the coupon: it's one thousand. You see?
Person2: Yeah.
Person1: You see?
Person2: Yeah, no, I see --
Person1: You see if you spent $3,000 dollars on pudding you could earn over one million frequent flyer miles.
Person2: That's insane. That is really, really crazy. That's just crazy if you spend three thousand dollars on pudding.
Person1: ....yeah....
Person2: So that was your pudding?
Person1: ....No....
Person2: I'm sorry. I thought you said --
Person1: No I didn't say that.
Person2: I thought you said you bought all that pudding --
Person1: My friend Carlos is doing it who works with me. It's his. It's his pudding, he's doing it. It's not mine. He's crazy. I told him not to do it. He's the one who's insane. He only spent about one hundred dollars so far though --
Person2: Your sister was telling me a pretty funny story about you, when you guys were kids and you were building a ramp for your dog and you threw a hammer through a window? Is that right? You threw a hammer through a sliding glass door?",1,Denial,Naivete
85516824,"Person1: Damn that Charlie I
Person2: It's not Charlie. It's me.
Person1: Peggy, let me ask you something.  You're not... expecting are you?
Person2: At my age? Don't be silly.
Person1: Thank God for that.
Person2: Dad.. it's not a big deal. Didn't you ever stay out all night when you were young?
Person1: Yes but I was a boy. And I still had hell to pay.
Person2: Calm down. Just listen for a minute.. Please.
Person1: All right. But this better be good.
Person2: I want to help with the family finances. I want you to buy some stocks. And gold. By 1980 gold is going to be worth eight hundred dollars an ounce. Then you sell.
Person1: Do you know how ridiculous you sound? First of all, it's illegal for U.S. citizens to buy gold. And in the second place, the price of gold is regulated by the government.
Person2: I think they're going to deregulate it.
Person1: That's your problems The more women think, the more trouble they get into.
Person2: Oh boy, that's another thing that's going to change. Who's going to think for us? Our husbands? You know, you treat Mom like a maid. It's not entirely your fault. Those were the attitudes in the fifties, and that's the way you raised me. But give Nancy a break, encourage her to go to art school.
Person1: I've heard just about enough of this lunacy! Go to your room!
Person2: Listen Dad, please. Buy IBM, buy Polaroid, buy Apple Computer. No, no. Not yet. Buy Xerox!
Person1: Evelyn, take her to her room!",1,"Brandishing Anger,Shaming or Belittlement",
85516825,"Person1: What do your instincts tell you to do now, kid?
Person2: Leave. Take this shit back to Detroit and get the rest of our money.
Person1: We could do that. I could be on my way to Florida, and you could go to Thailand and have a great time.
Person2: ...but that's not what we're gonna do, is it?
Person1: No... if we don't finish this job, how are we gonna look at ourselves in the mirror? This is it for me, Wesley, she's the last one. My instinct says I gotta see this through with her, and if there's one thing I've tried to teach you here --
Person2: It's to follow my instincts. And my instincts say get out of Dodge.
Person1: No, I said to follow 'my' instincts. Now, we go up there and conclude our business. Case closed.",1,Persuasion or Seduction,
85516826,"Person1: Are you alright?
Person2: Yeah...So that's him.  And you're not crazy.",0,,
85516827,"Person1: Oh, yes - you - you wanted to go home, huh?
Person2: Oh, no, I wanted to go along with you.
Person1: Oh --
Person2: Nobody cares about me at home. They wouldn't even miss me.
Person1: Aw, come, come, come --
Person2: No, they won't - honestly.
Person1: Oh --
Person2: Auntie Em was even going to let them kill Toto yesterday for biting Miss Gulch. Oh, please, Professor, why can't we go with you and see all the Crowned Heads of Europe?
Person1: Do you know any?  Oh, you mean the thing -- Yes, well, I -- I never do anything without consulting my crystal first. Let's....",0,,
85516828,"Person1: Every time we argue, you bring up the past and things I've already apologized for.
Person2: It's because those things still hurt, Henry.
Person1: I get that, but it's like you use them to deflect from the current issue.
Person2: I'm just trying to express how I feel.
Person1: Don't play a victim. We need to address the present, not dwell in the past.",1,"Rationalization,Accusation",
85516829,"Person1: No way that jerk's driving you.
Person2: Maybe if you didn't go Rambo every time I did a lapdance, you'd still be doing it yourself. Meantime, I gotta feed my little girl.
Person1: Maxie's fucking with me. He put you with the spook to get under my skin.
Person2: Ho's a good guy --
Person1: Ho's a pimp! He encourages Wendy to turn tricks. And she's his wife!
Person2: Shhh. He'll hear you.
Person1: Good! It'll save me the trouble of repeating myself. He's not driving you!
Person2: Listen to me, Bobby. This is my job. It puts a roof over me and my daughter and you for as long as you want to stay.
Person1: I want you to quit.
Person2: Look at the bills. I can't. I'm not gonna put my daughter through what I went through.
Person1: I'll support you.
Person2: With what?
Person1: Max offered to stake me.
Person2: Yeah, well Max offers a lot of things. And I got news for you. He's not the sweet old man you think he is.",1,"Persuasion or Seduction,Shaming or Belittlement",
85516830,"Person1: What's this... have you been smoking... ?
Person2: Smoking?  I'm not smoking.
Person1: Your clothing reeks of it.
Person2: You know, Amy, I've been sitting around in bars and everywhere following this guy... I mean, is this what I get first thing?  Before you even ""hello,"" you accuse me... ?
Person1: I'm not accusing you...
Person2: Well, I'm not smoking, okay?
Person1: Okay, I believe you.
Person2: We've been all through that.  I've been on my best behavior.",1,Denial,
85516831,"Person1: Are you crazy?!
Person2: The guy came right at us!
Person1: You turned up a one way street!",0,,
85516832,"Person1: Mrs. Grant, Governor...I won't hurt you.
Person2: My security people are right next door.
Person1: I appreciate that.
Person2: One loud scream will bring them in here instantly. You won't get very far. Think it over.
Person1: If I were here to hurt you I would have done it already.
Person2: That's...a comfort to hear.
Person1: I have a problem.
Person2: Ah.
Person1: Only you can help me. I'm also sorry to say, my problem is your problem, Mrs. Grant.",1,"Rationalization,Persuasion or Seduction",Over-intellectualization
85516833,"Person1: Carson was dying so they were forced to leave him. They finally got back to the base, made their report, and waited for the war to end. Only Charles couldn't wait quite as long as the others. He beat them back to the gold, took everything for himself and disappeared. It's taken Gideon, Tex and Scobie all this time to catch up with him again.
Person2: But if they stole all that money -- why can't you arrest them?
Person1: We know what happened from the bits and pieces we were able to paste together -- but we still have no proof.
Person2: But what has all this got to do with the C.I.O.?
Person1: C.I.A., Mrs. Lampert. We're an extension of the wartime O.S.S. It was our money and we want it back.
Person2: I'm sorry, Mr. Bartholomew, but nothing you've told me has changed my mind. I still intend leaving Paris -- tonight.
Person1: I wouldn't advise that, Mrs. Lampert. You'd better consider what happened to your husband when he tried to leave. Those men won't be very far away -- no matter where you go. In fact, I don't even see any point in your changing hotels. Please help us, Mrs. Lampert. Your government is counting on you.
Person2: Well, if I'm going to die, I might as well do it for my country.
Person1: That's the spirit.
Person2: Oh, stop it. What do you want me to do?
Person1: We're anxious to know who this man is -- the one calling himself Dyle.
Person2: Maybe he really is Dyle. He could still be alive.
Person1: No, Mrs. Lampert.
Person2: But no one actually saw him die.
Person1: No, Mrs. Lampert. His death is registered with the War Department in Washington.
Person2: Oh. Then who's this one?
Person1: I don't know -- but I think you'd better find out, don't you?
Person2: Me? Why me?
Person1: You're in an ideal position -- he trusts you.  Besides, you said yourself, women make the best spies.
Person2: Agents.",1,"Rationalization,Persuasion or Seduction",
85516834,"Person1: Have you ever know a woman? Do you know what it's like to feel her breath on your face... her skin against yours... flesh against flesh?
Person2: My creator did not intend for me to experience these things.
Person1: I'm your creator now.",1,Persuasion or Seduction,
85516835,"Person1: Hungry?
Person2: Just some coffee.
Person1: I'm not surprised. After all that humble pie...
Person2: Nothing of the kind. Karen and I had a nice talk.
Person1: Heart to heart? Woman to woman? Including a casual reference to the part of ""Cora"" - and your hopes of playing it.
Person2: I discussed it very openly. I told her that I had spoken to Lloyd - and that he was interested.
Person1: She mentioned, of course, that Margo expects to play the part?
Person2: Oddly enough - she didn't say a word about Margo. Just that she'll be happy to do what she can to see that I play the part.",0,,
85516836,"Person1: Who is ""US?""
Person2: I won't allow Starfleet to be dismantled over some Klingon promises.
Person1: Starfleet will be around long enough for me to convene a Court Martial on this ship, Lieutenant. Win, lose or draw it will be on your record.",1,,
85516837,"Person1: All right, look.  I can make it Right, I can make this up to you, Mattie.  I can, I swear.
Person2: Will you go to her and tell her Right in front of me she's Nothing to you?  Right out loud so I can hear?  Tell her she's Nothing, tell her she's nobody, Just dirt?  Will you do that?",1,Brandishing Anger,
85516838,"Person1: Son. About Rasputin --
Person2: Don't worry. I'll get him soon enough --
Person1: Listen to me. This time is different. There's more at stake than ever before.
Person2: How hard can it be? I punched the crap out of that thing that he sent -- ouch!!
Person1: I worry about you.
Person2: Me?? C'mon --
Person1: Well, I won't be around forever, you know?
Person2: Oh, stop that --  Damn! Be careful, there --",1,Persuasion or Seduction,
85516839,"Person1: It's all right.  Danny always said I see things with my emotions instead of my eyes.
Person2: It's not your fault, Rafe.  The letter I wrote you, they --
Person1: Don't worry about that.  Guys away from home, lonely, good-hearted women try to cheer them up.
Person2: It's not that I didn't mean everything I wrote.  It's just that -- I thought you were dead.  And now --",1,"Rationalization,Playing Victim Role",Over-responsibility
85516840,"Person1: Did he train you? Rehearse you? Teach you what to say and what to do?
Person2: Yes!
Person1: And you were such an apt pupil! What fun you two must have had, playing games with me! Why me? Why did he pick on me?!!
Person2: Your accident...
Person1: Ah, yes! I was a set-up. I was the made-to-order witness. Where is he now?
Person2: I don't know... Switzerland?
Person1: We'll find him.",1,Brandishing Anger,
85516841,"Person1: I don't want to argue with you. Let's just eat in peace.
Person2: No. No. We're gonna argue. And you know what mom? I'm going to save Hanukkah just to spite you. And when my face is all over the television. When your friends are opening their Hanukkah gifts next year, don't mention it to them, okay? I wouldn't want you to have to show my picture.
Person1: Do what you must.",1,,
85516842,"Person1: Oh?  And just because you realize now, everybody else should forgive you?!
Person2: I don't know -- I don't care anymore -- I just want to be at peace!
Person1: Oh, so you don't want war anymore? You want to be at peace?  You want to be able to change your mind anytime you feel like it and expect everyone to go along with it?
Person2: I don't understand.  What do you want from me?
Person1: I told you already... I'm here to set you free...",1,Playing Servant Role,
85516843,"Person1: Honey, Rose was born on a farm and has terrible memories of farm life. Now I don't think --
Person2: Just a minute, Rose, you don't understand. This isn't a dirt farm like the one you were born on, it's nice. A neighbor of Cousin Hop's, I talked to him on the phone, a fine man... it's not a farm, damn it, it's a beautiful dairy establishment! Stop crying, Rose! Do you hear me? Stop crying, it's ideal!
Person1: I don't know how you can call it ideal -- don't you know what the word ""farm"" means to her?
Person2: I don't give a hoot in hell's hollow what it means to her! She can't stay in this house forever! I fired her, damn it!
Person1: It sounds like a farm to me. Calling it a dairy establishment, that's just trickery and flummery.
Person2: Trickery and flummery or not, she's going there tomorrow on the bus! It's settled! And I must say we've been more than fair to you, Rose, it's pretty selfish and mean hearted of you to sit there and cry like that!",1,Accusation,
85516844,"Person1: Stay there.
Person2: Don't start. I told you to clean up. Look at this place. It's a pigpen. Look around here. Why do you think I bought you the dishwasher? Look. Look at this.  There's enough powder around here to put us all away.
Person1: I hate to do dishes.
Person2: Hey, come on. I gotta meet somebody.
Person1: So do I.",1,,
85516845,"Person1: Dude, somebody's on the rag.
Person2: Shhh!",0,,
85516846,"Person1: I've got evidence of the shortcuts you've been taking in the production process.
Person2: That's a serious accusation, Tara.
Person1: It's not an accusation if it's the truth.
Person2: Watch your step; it would be unfortunate if things got ugly.
Person1: I'm only interested in ensuring the company's integrity. Do what you must.",1,Intimidation,
85516847,"Person1: Lenny the loser.  Panhandler of stolen dreams.
Person2: Leave him alone, Tran.
Person1: He's no concern of mine, as long as you don't talk to him.  Don't talk to anybody.  You understand?  Not with everything that's going on right now.
Person2: You're too goddamned paranoid.
Person1: Paranoia's only reality on a finer scale.",1,,
85516848,"Person1: Thanks, Dad.
Person2: Happy birthday, kid.  You want another Coke?
Person1: Can't.  I gotta drive out to Glades, then I'm meeting Ray Nicolet at ten.
Person2: Which one is that?  The ATF guy?
Person1: He was.  Ray's with the F.B.I. now, he switched over.
Person2: He's still married though, huh?
Person1: Technically.  They're separated.
Person2: Oh, he's moved out?
Person1: He's about to.
Person2: Then they're not separated, are they?
Person1: Can we change the subject?
Person2: What're you doing at Glades?
Person1: Serving process, a Summons and Complaint.  Some con doing mandatory life doesn't like macaroni and cheese. He files suit, says he has no choice in what they serve and it violates his civil rights.
Person2: You know you can always step in, work with me full-time as one of my investigators.
Person1: No thanks.
Person2: You used to like it.
Person1: Dad...
Person2: You'd meet doctors, lawyers -- nothing wrong with them necessarily if they're divorced.  Why settle for some cowboy cop who drinks too much and cheats on his wife?  That's the way those hotshots are, all of 'em.
Person1: I really gotta go.
Person2: We don't get to talk much any more.
Person1: How 'bout I come next Sunday and watch the Super Bowl with you?
Person2: I'd like that.",1,Persuasion or Seduction,Over-responsibility
85516849,"Person1: I don't gamble.
Person2: Don't be a spoilsport. It's only a few quid.
Person1: It's nothing to do with money. I don't gamble.",1,Persuasion or Seduction,
85516850,"Person1: Who the hell do you think you are?!
Person2: Excuse me.
Person1: I'm paying you to give cello lessons. Not to pervert my child.
Person2: Mrs. Caldwell I think you're misunderstanding something.
Person1: Is that so?",1,,
85516851,"Person1: What's the matter with you?
Person2: You are afraid!
Person1: Afraid ... of what?
Person2: -- of what happens after we die!
Person1: Are you plumb crazy, man! What do you think happens? We're buried -- that's all.
Person2: But what becomes of our souls?
Person1: Why do you fret about something that isn't there?
Person2: Don't say that -- I know it is --
Person1: All right -- so it's buried with you!
Person2: What if one hasn't a soul any more? What of that?
Person1: Huh? -- What's that?  Well -- what about it? Who cares, anyhow?
Person2: I do -- and I think you should too.
Person1: Stevens -- what's all this leading up to? You know something. Come on! Out with it -- you know something about me!",1,Persuasion or Seduction,
85516852,"Person1: Oh, okay. I think I get it.
Person2: What do you get?
Person1: Well, they must be something sexual, because Ann gets freaked out by that shit. Are these tapes of you having sex with these girls or something?
Person2: Not exactly.
Person1: Well, either you are or you aren't. Which is it?
Person2: Why don't you let me tape you?
Person1: Doing what?
Person2: Talking.
Person1: About what?
Person2: Sex. Your sexual history, your sexual preferences.
Person1: What makes you think I'd discuss that with you?
Person2: Nothing.
Person1: You just want to ask me questions?
Person2: I just want to ask you questions.
Person1: And that's all?
Person2: That's all.
Person1: Is this how you get off or something? Taping women talking about their sexual experiences?
Person2: Yes.
Person1: Would anybody else see the tape?
Person2: Absolutely not. They are for my private use only.
Person1: How do we start?
Person2: I turn on the camera. You start talking.
Person1: And you ask questions, right?
Person2: Yes.
Person1: How long will it take?
Person2: That depends on you. One woman only used three minutes. Another filled up three two hour tapes.
Person1: Can I see some of the other tapes to get an idea of what --
Person2: No.
Person1: Do I sit or stand?
Person2: Whichever you prefer.
Person1: I'd rather sit. Are you ready?
Person2: Just a moment.",0,,
85516853,"Person1: Am I wasting my time with you? When she sues to protect her privacy, she'll have to appear in a public courtroom to do it.
Person2: Long live the First Amendment.
Person1: Sometimes you have to tell a small lie to get to the bigger truth.  As for a photo -- if you can't do it, I know twelve million people who can.",1,Intimidation,
85516854,"Person1: A murder.
Person2: You better have a warrant.  That's my notebook, you've got no right to be sticking your fingers into it.
Person1: I've got a morgue filling up with bodies.  That's my right.
Person2: What do you want from me?
Person1: Well, the man of the hour that we all would like to talk to about now has apparently skipped town.  And all of a sudden the Smithsonian's ambulence chaser is an expert on missing persons.",0,,
85516855,"Person1: I've explained the situation to Mr. Mitchell up to a point.  Now about this Mayfield girl?
Person2: She's a suspect, naturally.  But not the only one.
Person1: She's the only one who had a dead man in her room.  The only one who won't give an account of herself. The only one who tried to run away. And the only one, so far, I've been told, who went to such lengths to disguise her identity that she even removed the labels from her clothes.  What more do you want?",1,Persuasion or Seduction,
85516856,"Person1: Six of us left. If we could get through that canyon and lose just one, that'd be quite a remarkable feat, huh? A good thing, right?
Person2: Not if I'm the one.
Person1: What if you're one of five?",0,,
85516857,"Person1: Why the smirk?
Person2: Bet I could make some money turning Ben Corbett in.  Maybe more for lettin' him loose.  I was up in my cache.  Saw the Northland man come talk to you.
Person1: You're out of your greedy goddamn mind.
Person2: Corbett coming here stinks of trouble.  We should make the best of it before it turns around and bites us in the ass.
Person1: Stay out of it.",1,,
85516858,"Person1: Daddy, I want to discuss the prom with you. It's tomorrow night --
Person2: The prom?  Kat has a date?
Person1: No, but
Person2: It's that hot rod Joey, right? That ' s who you want me to bend my rules for?
Person1: He's not a ""hot rod"".  Whatever that is.
Person2: You're not going unless your sister goes.  End of story.
Person1: Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!",1,Shaming or Belittlement,
85516859,"Person1: Wait.  Something's wrong.  I don't...
Person2: What's wrong?
Person1: I don't remember.  Why don't I remember?",0,,
85516860,"Person1: I'm sorry to put all this on you, Stanley --
Person2: I have money.
Person1: ...what...?
Person2: I have money to give you.
Person1: No.  No.  I have to do this on my own.
Person2: I can take you to get money.  I don't need it...I don't need it -- listen to me",1,Persuasion or Seduction,
85516861,"Person1: I'm crazy about the kid and I got him into it.  What do you want me to do?
Person2: Just smile again and be reasonable.  I'll order dinner here--just the two of us--like old times.
Person1: --and you swear when you get to the other side, you'll never come near either of us again?
Person2: That's a bet--but I couldn't let you walk out like that, Sally. I'd have gone cuckoo back there--just thinking about you--",1,Persuasion or Seduction,
85516862,"Person1: Hello, Mr. Parker.
Person2: Hello.
Person1: How are you feeling?
Person2: Confused.  I'm not sure what to do now.  I'm not sure what he wants for me.
Person1: He wants to reward you... That's why I'm here.
Person2: What do you mean?
Person1: I mean you've done a great thing. You should be rewarded monetarily.",0,,
85516863,"Person1: Seating problems.
Person2: Okay.
Person1: Keith do not trivialize this.
Person2: I'm not. What's the problem?
Person1: We're supposed to have gold-trimmed padded seats, now they're telling me that there was a mistake and we can't have padded.
Person2: What kind of seats can we have?
Person1: Not padded ones.
Person2: So what do we do?
Person1: You go down there.
Person2: Go down where?
Person1: Go down to the seat place and straighten this out.
Person2: Honey I don't have the time...
Person1: I need your help.
Person2: We're leaving in three hours.
Person1: I need your help.
Person2: I'll call them from the road.
Person1: Do you love me?
Person2: More than I ever imagined being able to love anyone ever.
Person1: Take care of those chairs.
Person2: We're leaving from Adam's. Come send me off.
Person1: Maybe.",1,Persuasion or Seduction,
85516864,"Person1: So this Z...he fancies himself an individual?
Person2: Yeah...I mean...well...I don't know, really, sir.
Person1: Well now you haven't fallen for this silly idea of individuality, have you?
Person2: Oh, no, sir!
Person1: Good.  You're a good soldier.
Person2: Thank you, sir.",0,,
85516865,"Person1: She's in love.
Person2: You're crazy.  I think you're in love.",0,,
85516866,"Person1: I am going to do you a great favor.  I am going to take you with us to Gitarama.
Person2: I do not want to go to Gitarama, General.
Person1: You cannot go back to the hotel. The crazy men are going there now. Better to come with me.",1,Persuasion or Seduction,
85516867,"Person1: Don't listen, Willie. Progress is a feast to be consumed. Women would have you believe you must walk before you can run. Or run before you can waltz!
Person2: Give me that child before you fill his head with drivel!",1,Persuasion or Seduction,
85516868,"Person1: You --  -- are in for a surprise.
Person2: Am I?
Person1: Having a kid changes everything. I mean, there's the diapers and the burping and the midnight feedings...
Person2: Did you do any of that?
Person1: No, but I hear it's terrible. Then you spend years trying to corrupt and mislead this child, fill its head with nonsense and still it turns out perfectly fine.
Person2: You think I'm up for it?
Person1: You learned from the best.",1,Persuasion or Seduction,
85516869,"Person1: Hello.
Person2: Ambassador Han.
Person1: Yes.
Person2: Even if you deny the FBI is there, I will assume you are lying.",0,,
